p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.257165,0.0,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.759875,0.08273663814754845,5.099375,0.015990252099080518,1.0,0.008,8000,1.2732299402801939
0.257165,0.01,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.7445,0.08193303879758046,5.093375,0.015829784787945764,1.0,0.006,8000,1.2728738603277443
0.257165,0.02,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.734875,0.08336312370044689,5.102125,0.016299774411862564,1.0,0.007375,8000,1.2726507998055125
0.257165,0.03,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.75025,0.08259611602239689,5.0765,0.01602889841654928,1.0,0.006125,8000,1.2730070626182262
0.257165,0.04,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.844875,0.08304758284817199,5.10775,0.016216900618512428,1.0,0.0075,8000,1.2751932610750754
0.257165,0.05,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.818625,0.08208758012040022,5.088375,0.016001253464523628,1.0,0.00625,8000,1.2745878881280117
0.257165,0.06,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.879375,0.08273067672744401,5.053625,0.016078937665512338,1.0,0.00675,8000,1.2759876129205225
0.257165,0.07,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.874875,0.08143160461439793,5.0675,0.015941094177014482,1.0,0.0075,8000,1.2758840841693055
0.257165,0.08,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.808625,0.08309418996971277,5.038125,0.01605139842726511,1.0,0.0085,8000,1.274357047717337
0.257165,0.09,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.94125,0.08456262418683369,5.053625,0.016364088512531967,1.0,0.008125,8000,1.2774086362400685
0.257165,0.1,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.848875,0.08321148537437095,5.014,0.016222350186723793,1.0,0.008875,8000,1.2752854343363793
0.257165,0.11,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.991125,0.08284900436328352,5.03575,0.015939244010459,1.0,0.00625,8000,1.2785506923210364
0.257165,0.12,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.053,0.0814701466679652,5.000125,0.015932980120768873,1.0,0.005,8000,1.279963367458737
0.257165,0.13,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.8115,0.08154455627497313,5.003375,0.01598972044992918,1.0,0.007,8000,1.2744234269033659
0.257165,0.14,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,18.9285,0.08387857545689235,5.03525,0.016146857892945517,1.0,0.0075,8000,1.2771161994083762
0.257165,0.15,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.112125,0.08483495001554425,5.01625,0.016065273225593663,1.0,0.0075,8000,1.2813089771893262
0.257165,0.16,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.0815,0.08355338033060412,5.019125,0.016197112322967493,1.0,0.005625,8000,1.2806125116740097
0.257165,0.17,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.032125,0.08295817850260113,4.991,0.01630829911663107,1.0,0.00825,8000,1.2794872814163454
0.257165,0.18,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.038625,0.08279340844676074,4.970125,0.01600386128388628,1.0,0.006,8000,1.2796355797377497
